"Table","Index","Value","File","Line"
"affected_bits","55","UNHOLY-AURA","src\constants.c","267"
"affected_bits","56","DEATH-WARD","src\constants.c","267"
"affected_bits","57","SPELL-REFLECT","src\constants.c","267"
"affected_bits","58","ADRENALINE","src\constants.c","267"
"affected_bits","59","CLARITY","src\constants.c","267"
"affected_bits","60","INFUSED","src\constants.c","267"
"affected_bits","61","\n","src\constants.c","267"
"already_wearing","0","You're already using a light.\r\n","src\act.item.c","1567"
"already_wearing","1","YOU SHOULD NEVER SEE THIS MESSAGE.  PLEASE REPORT.\r\n","src\act.item.c","1567"
"already_wearing","2","You're already wearing something on both of your ring fingers.\r\n","src\act.item.c","1567"
"already_wearing","3","YOU SHOULD NEVER SEE THIS MESSAGE.  PLEASE REPORT.\r\n","src\act.item.c","1567"
"already_wearing","4","You can't wear anything else around your neck.\r\n","src\act.item.c","1567"
"already_wearing","5","You're already wearing something on your body.\r\n","src\act.item.c","1567"
"already_wearing","6","You're already wearing something on your head.\r\n","src\act.item.c","1567"
"already_wearing","7","You're already wearing something on your legs.\r\n","src\act.item.c","1567"
"already_wearing","8","You're already wearing something on your feet.\r\n","src\act.item.c","1567"
"already_wearing","9","You're already wearing something on your hands.\r\n","src\act.item.c","1567"
"already_wearing","10","You're already wearing something on your arms.\r\n","src\act.item.c","1567"
"already_wearing","11","You're already using a shield.\r\n","src\act.item.c","1567"
"already_wearing","12","You're already wearing something about your body.\r\n","src\act.item.c","1567"
"already_wearing","13","You already have something around your waist.\r\n","src\act.item.c","1567"
"already_wearing","14","YOU SHOULD NEVER SEE THIS MESSAGE.  PLEASE REPORT.\r\n","src\act.item.c","1567"
"already_wearing","15","You're already wearing something around both of your wrists.\r\n","src\act.item.c","1567"
"already_wearing","16","You're already wielding a weapon.\r\n","src\act.item.c","1567"
"already_wearing","17","You're already holding something.\r\n","src\act.item.c","1567"
"apply_types","0","NONE","src\constants.c","506"
"apply_types","1","STR","src\constants.c","506"
"apply_types","2","DEX","src\constants.c","506"
"apply_types","3","INT","src\constants.c","506"
"apply_types","4","WIS","src\constants.c","506"
"apply_types","5","CON","src\constants.c","506"
"apply_types","6","CHA","src\constants.c","506"
"apply_types","7","CLASS","src\constants.c","506"
"apply_types","8","LEVEL","src\constants.c","506"
"apply_types","9","AGE","src\constants.c","506"
"apply_types","10","CHAR_WEIGHT","src\constants.c","506"
"apply_types","11","CHAR_HEIGHT","src\constants.c","506"
"apply_types","12","MAXMANA","src\constants.c","506"
"apply_types","13","MAXHIT","src\constants.c","506"
"apply_types","14","MAXMOVE","src\constants.c","506"
"apply_types","15","GOLD","src\constants.c","506"
"apply_types","16","EXP","src\constants.c","506"
"apply_types","17","ARMOR","src\constants.c","506"
"apply_types","18","HITROLL","src\constants.c","506"
"apply_types","19","DAMROLL","src\constants.c","506"
"apply_types","20","SAVING_PARA","src\constants.c","506"
"apply_types","21","SAVING_ROD","src\constants.c","506"
"apply_types","22","SAVING_PETRI","src\constants.c","506"
"apply_types","23","SAVING_BREATH","src\constants.c","506"
"apply_types","24","SAVING_SPELL","src\constants.c","506"
"apply_types","25","MELEE_CRIT","src\constants.c","506"
"apply_types","26","SPELL_CRIT","src\constants.c","506"
"apply_types","27","HEAL_CRIT","src\constants.c","506"
"apply_types","28","MELEE_CRIT_MULT","src\constants.c","506"
"apply_types","29","SPELL_CRIT_MULT","src\constants.c","506"
"apply_types","30","HEAL_CRIT_MULT","src\constants.c","506"
"apply_types","31","EVASION","src\constants.c","506"
"apply_types","32","\n","src\constants.c","506"
"aq_flags","0","REPEATABLE","src\quest.c","43"
"aq_flags","1","\n","src\quest.c","43"
"class_abbrevs","0","\n","src\class.c","154"
"color_liquid","0","clear","src\constants.c","627"
"color_liquid","1","brown","src\constants.c","627"
"color_liquid","2","clear","src\constants.c","627"
"color_liquid","3","brown","src\constants.c","627"
"color_liquid","4","dark","src\constants.c","627"
"color_liquid","5","golden","src\constants.c","627"
"color_liquid","6","red","src\constants.c","627"
"color_liquid","7","green","src\constants.c","627"
"color_liquid","8","clear","src\constants.c","627"
"color_liquid","9","light green","src\constants.c","627"
"color_liquid","10","white","src\constants.c","627"
"color_liquid","11","brown","src\constants.c","627"
"color_liquid","12","black","src\constants.c","627"
"color_liquid","13","red","src\constants.c","627"
"color_liquid","14","clear","src\constants.c","627"
"color_liquid","15","crystal clear","src\constants.c","627"
"color_liquid","16","\n","src\constants.c","627"
"connected_types","0","Playing","src\constants.c","336"
"connected_types","1","Disconnecting","src\constants.c","336"
"connected_types","2","Get name","src\constants.c","336"
"connected_types","3","Confirm name","src\constants.c","336"
"connected_types","4","Get password","src\constants.c","336"
"connected_types","5","Get new PW","src\constants.c","336"
"connected_types","6","Confirm new PW","src\constants.c","336"
"connected_types","7","Select sex","src\constants.c","336"
"connected_types","8","Select class","src\constants.c","336"
"connected_types","9","Reading MOTD","src\constants.c","336"
"connected_types","10","Main Menu","src\constants.c","336"
"connected_types","11","Get descript.","src\constants.c","336"
"connected_types","12","Changing PW 1","src\constants.c","336"
"connected_types","13","Changing PW 2","src\constants.c","336"
"connected_types","14","Changing PW 3","src\constants.c","336"
"connected_types","15","Self-Delete 1","src\constants.c","336"
"connected_types","16","Self-Delete 2","src\constants.c","336"
"connected_types","17","Disconnecting","src\constants.c","336"
"connected_types","18","Object edit","src\constants.c","336"
"connected_types","19","Room edit","src\constants.c","336"
"connected_types","20","Zone edit","src\constants.c","336"
"connected_types","21","Mobile edit","src\constants.c","336"
"connected_types","22","Shop edit","src\constants.c","336"
"connected_types","23","Text edit","src\constants.c","336"
"connected_types","24","Config edit","src\constants.c","336"
"connected_types","25","Social edit","src\constants.c","336"
"connected_types","26","Trigger edit","src\constants.c","336"
"connected_types","27","Help edit","src\constants.c","336"
"connected_types","28","Quest edit","src\constants.c","336"
"connected_types","29","Preference edit","src\constants.c","336"
"connected_types","30","IBT edit","src\constants.c","336"
"connected_types","31","Message edit","src\constants.c","336"
"connected_types","32","Protocol Detection","src\constants.c","336"
"connected_types","33","\n","src\constants.c","336"
"container_bits","0","CLOSEABLE","src\constants.c","546"
"container_bits","1","PICKPROOF","src\constants.c","546"
"container_bits","2","CLOSED","src\constants.c","546"
"container_bits","3","LOCKED","src\constants.c","546"
"container_bits","4","\n","src\constants.c","546"
"dir_names","0","North","src\util\wld2html.c","155"
"dir_names","1","East","src\util\wld2html.c","155"
"dir_names","2","South","src\util\wld2html.c","155"
"dir_names","3","West","src\util\wld2html.c","155"
"dir_names","4","Up","src\util\wld2html.c","155"
"dir_names","5","Down","src\util\wld2html.c","155"
"dir_names","6","North West","src\util\wld2html.c","155"
"dir_names","7","North East","src\util\wld2html.c","155"
"dir_names","8","South East","src\util\wld2html.c","155"
"dir_names","9","South West","src\util\wld2html.c","155"
"dir_names","10","Usage: %s <world-file-name(s)>\n","src\util\wld2html.c","155"
"dir_names","11","Writing output.","src\util\wld2html.c","155"
"dir_names","12","Done.","src\util\wld2html.c","155"
"dir_names","13","Record: %d ","src\util\wld2html.c","155"
"dir_names","14","","src\util\wld2html.c","155"
"dir_names","15","Writing %d.html","src\util\wld2html.c","155"
"dir_names","16","%ld.html","src\util\wld2html.c","155"
"dir_names","17","w","src\util\wld2html.c","155"
"dir_names","18","opening output file","src\util\wld2html.c","155"
"dir_names","19","<title> %s </title>\n","src\util\wld2html.c","155"
"dir_names","20","<h1> %s </h1>\n","src\util\wld2html.c","155"
"dir_names","21","<pre>\n","src\util\wld2html.c","155"
"dir_names","22","</pre>\n","src\util\wld2html.c","155"
"dir_names","23","<P> Exits: <P> \n","src\util\wld2html.c","155"
"dir_names","24","<a href = ""%d.html""> %s to %s</a> <p>\n","src\util\wld2html.c","155"
"dir_names","25","None!","src\util\wld2html.c","155"
"dir_names","26","r","src\util\wld2html.c","155"
"dir_names","27","error opening world file","src\util\wld2html.c","155"
"dir_names","28","Total records: %d\n","src\util\wld2html.c","155"
"dir_names","29","r","src\util\wld2html.c","155"
"dir_names","30","error opening world file","src\util\wld2html.c","155"
"dir_names","31","Format error after room #%d\n","src\util\wld2html.c","155"
"dir_names","32","#%d","src\util\wld2html.c","155"
"dir_names","33","Format error after room #%d\n","src\util\wld2html.c","155"
"dir_names","34","Format error in world file near room #%d\n","src\util\wld2html.c","155"
"dir_names","35","Offending line: '%s'\n","src\util\wld2html.c","155"
"dir_names","36","room #%d","src\util\wld2html.c","155"
"dir_names","37"," %d %s %d ","src\util\wld2html.c","155"
"dir_names","38","Format error in room #%d\n","src\util\wld2html.c","155"
"dir_names","39","Format error in room #%d (expecting D/E/S)","src\util\wld2html.c","155"
"dir_names","40","%s\n","src\util\wld2html.c","155"
"dir_names","41","%s\n","src\util\wld2html.c","155"
"dir_names","42","room #%d, direction D%d","src\util\wld2html.c","155"
"dir_names","43","Format error, %s\n","src\util\wld2html.c","155"
"dir_names","44"," %d %d %d ","src\util\wld2html.c","155"
"dir_names","45","Format error, %s\n","src\util\wld2html.c","155"
"dir_names","46","SYSERR: fread_string: format error at or near %s\n","src\util\wld2html.c","155"
"dir_names","47","\r\n","src\util\wld2html.c","155"
"dir_names","48","SYSERR: fread_string: string too large (db.c)","src\util\wld2html.c","155"
"dirs","0","north","src\constants.c","35"
"dirs","1","east","src\constants.c","35"
"dirs","2","south","src\constants.c","35"
"dirs","3","west","src\constants.c","35"
"dirs","4","up","src\constants.c","35"
"dirs","5","down","src\constants.c","35"
"dirs","6","northwest","src\constants.c","35"
"dirs","7","northeast","src\constants.c","35"
"dirs","8","southeast","src\constants.c","35"
"dirs","9","southwest","src\constants.c","35"
"dirs","10","\n","src\constants.c","35"
"equipment_types","0","Used as light","src\constants.c","400"
"equipment_types","1","Worn on right finger","src\constants.c","400"
"equipment_types","2","Worn on left finger","src\constants.c","400"
"equipment_types","3","First worn around Neck","src\constants.c","400"
"equipment_types","4","Second worn around Neck","src\constants.c","400"
"equipment_types","5","Worn on body","src\constants.c","400"
"equipment_types","6","Worn on head","src\constants.c","400"
"equipment_types","7","Worn on legs","src\constants.c","400"
"equipment_types","8","Worn on feet","src\constants.c","400"
"equipment_types","9","Worn on hands","src\constants.c","400"
"equipment_types","10","Worn on arms","src\constants.c","400"
"equipment_types","11","Worn as shield","src\constants.c","400"
"equipment_types","12","Worn about body","src\constants.c","400"
"equipment_types","13","Worn around waist","src\constants.c","400"
"equipment_types","14","Worn around right wrist","src\constants.c","400"
"equipment_types","15","Worn around left wrist","src\constants.c","400"
"equipment_types","16","Wielded","src\constants.c","400"
"equipment_types","17","Held","src\constants.c","400"
"equipment_types","18","\n","src\constants.c","400"
"exit_bits","0","DOOR","src\constants.c","106"
"exit_bits","1","CLOSED","src\constants.c","106"
"exit_bits","2","LOCKED","src\constants.c","106"
"exit_bits","3","PICKPROOF","src\constants.c","106"
"exit_bits","4","\n","src\constants.c","106"
"extra_bits","0","GLOW","src\constants.c","478"
"extra_bits","1","HUM","src\constants.c","478"
"extra_bits","2","NO_RENT","src\constants.c","478"
"extra_bits","3","NO_DONATE","src\constants.c","478"
"extra_bits","4","NO_INVIS","src\constants.c","478"
"extra_bits","5","INVISIBLE","src\constants.c","478"
"extra_bits","6","MAGIC","src\constants.c","478"
"extra_bits","7","NO_DROP","src\constants.c","478"
"extra_bits","8","BLESS","src\constants.c","478"
"extra_bits","9","ANTI_GOOD","src\constants.c","478"
"extra_bits","10","ANTI_EVIL","src\constants.c","478"
"extra_bits","11","ANTI_NEUTRAL","src\constants.c","478"
"extra_bits","12","ANTI_MAGE","src\constants.c","478"
"extra_bits","13","ANTI_CLERIC","src\constants.c","478"
"extra_bits","14","ANTI_THIEF","src\constants.c","478"
"extra_bits","15","ANTI_WARRIOR","src\constants.c","478"
"extra_bits","16","NO_SELL","src\constants.c","478"
"extra_bits","17","QUEST_ITEM","src\constants.c","478"
"extra_bits","18","TWO_HANDER","src\constants.c","478"
"extra_bits","19","OFFHAND","src\constants.c","478"
"extra_bits","20","KEPT","src\constants.c","478"
"extra_bits","21","\n","src\constants.c","478"
"genders","0","neutral","src\constants.c","134"
"genders","1","male","src\constants.c","134"
"genders","2","female","src\constants.c","134"
"genders","3","random","src\constants.c","134"
"genders","4","\n","src\constants.c","134"
"history_types","0","all","src\constants.c","991"
"history_types","1","say","src\constants.c","991"
"history_types","2","gossip","src\constants.c","991"
"history_types","3","wiznet","src\constants.c","991"
"history_types","4","tell","src\constants.c","991"
"history_types","5","shout","src\constants.c","991"
"history_types","6","grats","src\constants.c","991"
"history_types","7","holler","src\constants.c","991"
"history_types","8","auction","src\constants.c","991"
"history_types","9","\n","src\constants.c","991"
"ibt_bits","0","Resolved","src\constants.c","1005"
"ibt_bits","1","Important","src\constants.c","1005"
"ibt_bits","2","InProgress","src\constants.c","1005"
"ibt_bits","3","\n","src\constants.c","1005"
"item_types","0","UNDEFINED","src\constants.c","425"
"item_types","1","LIGHT","src\constants.c","425"
"item_types","2","SCROLL","src\constants.c","425"
"item_types","3","WAND","src\constants.c","425"
"item_types","4","STAFF","src\constants.c","425"
"item_types","5","WEAPON","src\constants.c","425"
"item_types","6","FURNITURE","src\constants.c","425"
"item_types","7","FREE","src\constants.c","425"
"item_types","8","TREASURE","src\constants.c","425"
"item_types","9","ARMOR","src\constants.c","425"
"item_types","10","POTION","src\constants.c","425"
"item_types","11","WORN","src\constants.c","425"
"item_types","12","OTHER","src\constants.c","425"
"item_types","13","TRASH","src\constants.c","425"
"item_types","14","FREE2","src\constants.c","425"
"item_types","15","CONTAINER","src\constants.c","425"
"item_types","16","NOTE","src\constants.c","425"
"item_types","17","LIQ CONTAINER","src\constants.c","425"
"item_types","18","KEY","src\constants.c","425"
"item_types","19","FOOD","src\constants.c","425"
"item_types","20","MONEY","src\constants.c","425"
"item_types","21","PEN","src\constants.c","425"
"item_types","22","BOAT","src\constants.c","425"
"item_types","23","FOUNTAIN","src\constants.c","425"
"item_types","24","\n","src\constants.c","425"
"otrig_types","0","Global","src\constants.c","939"
"otrig_types","1","Random","src\constants.c","939"
"otrig_types","2","Command","src\constants.c","939"
"otrig_types","3","UNUSED1","src\constants.c","939"
"otrig_types","4","UNUSED2","src\constants.c","939"
"otrig_types","5","Timer","src\constants.c","939"
"otrig_types","6","Get","src\constants.c","939"
"otrig_types","7","Drop","src\constants.c","939"
"otrig_types","8","Give","src\constants.c","939"
"otrig_types","9","Wear","src\constants.c","939"
"otrig_types","10","UNUSED3","src\constants.c","939"
"otrig_types","11","Remove","src\constants.c","939"
"otrig_types","12","UNUSED4","src\constants.c","939"
"otrig_types","13","Load","src\constants.c","939"
"otrig_types","14","UNUSED5","src\constants.c","939"
"otrig_types","15","Cast","src\constants.c","939"
"otrig_types","16","Leave","src\constants.c","939"
"otrig_types","17","UNUSED6","src\constants.c","939"
"otrig_types","18","Consume","src\constants.c","939"
"otrig_types","19","Time","src\constants.c","939"
"otrig_types","20","\n","src\constants.c","939"
"pc_class_types","0","\n","src\class.c","168"
"pc_race_types","0","Undefined","src\race.c","12"
"pc_race_types","1","Human","src\race.c","12"
"pc_race_types","2","Elf","src\race.c","12"
"pc_race_types","3","Dwarf","src\race.c","12"
"pc_race_types","4","Orc","src\race.c","12"
"pc_race_types","5","Halfling","src\race.c","12"
"pc_race_types","6","Troll","src\race.c","12"
"pc_race_types","7","Goblin","src\race.c","12"
"pc_race_types","8","Werewolf","src\race.c","12"
"pc_race_types","9","Satyr","src\race.c","12"
"pc_race_types","10","Minotaur","src\race.c","12"
"pc_race_types","11","Vampire","src\race.c","12"
"pc_race_types","12","\n","src\race.c","12"
"player_bits","0","KILLER","src\constants.c","162"
"player_bits","1","THIEF","src\constants.c","162"
"player_bits","2","FROZEN","src\constants.c","162"
"player_bits","3","DONTSET","src\constants.c","162"
"player_bits","4","WRITING","src\constants.c","162"
"player_bits","5","MAILING","src\constants.c","162"
"player_bits","6","CSH","src\constants.c","162"
"player_bits","7","SITEOK","src\constants.c","162"
"player_bits","8","NOSHOUT","src\constants.c","162"
"player_bits","9","NOTITLE","src\constants.c","162"
"player_bits","10","DELETED","src\constants.c","162"
"player_bits","11","LOADRM","src\constants.c","162"
"player_bits","12","NO_WIZL","src\constants.c","162"
"player_bits","13","NO_DEL","src\constants.c","162"
"player_bits","14","INVST","src\constants.c","162"
"player_bits","15","CRYO","src\constants.c","162"
"player_bits","16","DEAD","src\constants.c","162"
"player_bits","17","IBT_BUG","src\constants.c","162"
"player_bits","18","IBT_IDEA","src\constants.c","162"
"player_bits","19","IBT_TYPO","src\constants.c","162"
"player_bits","20","UNUSED1","src\constants.c","162"
"player_bits","21","UNUSED2","src\constants.c","162"
"player_bits","22","UNUSED3","src\constants.c","162"
"player_bits","23","UNUSED4","src\constants.c","162"
"player_bits","24","UNUSED5","src\constants.c","162"
"player_bits","25","\n","src\constants.c","162"
"position_types","0","Dead","src\constants.c","146"
"position_types","1","Mortally wounded","src\constants.c","146"
"position_types","2","Incapacitated","src\constants.c","146"
"position_types","3","Stunned","src\constants.c","146"
"position_types","4","Sleeping","src\constants.c","146"
"position_types","5","Resting","src\constants.c","146"
"position_types","6","Sitting","src\constants.c","146"
"position_types","7","Fighting","src\constants.c","146"
"position_types","8","Standing","src\constants.c","146"
"position_types","9","\n","src\constants.c","146"
"positions","0"," is lying here, dead.","src\act.informative.c","485"
"positions","1"," is lying here, mortally wounded.","src\act.informative.c","485"
"positions","2"," is lying here, incapacitated.","src\act.informative.c","485"
"positions","3"," is lying here, stunned.","src\act.informative.c","485"
"positions","4"," is sleeping here.","src\act.informative.c","485"
"positions","5"," is resting here.","src\act.informative.c","485"
"positions","6"," is sitting here.","src\act.informative.c","485"
"positions","7","!FIGHTING!","src\act.informative.c","485"
"positions","8"," is standing here.","src\act.informative.c","485"
"preference_bits","0","BRIEF","src\constants.c","224"
"preference_bits","1","COMPACT","src\constants.c","224"
"preference_bits","2","NO_SHOUT","src\constants.c","224"
"preference_bits","3","NO_TELL","src\constants.c","224"
"preference_bits","4","UNUSED","src\constants.c","224"
"preference_bits","5","UNUSED","src\constants.c","224"
"preference_bits","6","UNUSED","src\constants.c","224"
"preference_bits","7","AUTOEX","src\constants.c","224"
"preference_bits","8","NO_HASS","src\constants.c","224"
"preference_bits","9","QUEST","src\constants.c","224"
"preference_bits","10","SUMN","src\constants.c","224"
"preference_bits","11","NO_REP","src\constants.c","224"
"preference_bits","12","LIGHT","src\constants.c","224"
"preference_bits","13","C1","src\constants.c","224"
"preference_bits","14","C2","src\constants.c","224"
"preference_bits","15","NO_WIZ","src\constants.c","224"
"preference_bits","16","L1","src\constants.c","224"
"preference_bits","17","L2","src\constants.c","224"
"preference_bits","18","NO_AUC","src\constants.c","224"
"preference_bits","19","NO_GOS","src\constants.c","224"
"preference_bits","20","NO_GTZ","src\constants.c","224"
"preference_bits","21","RMFLG","src\constants.c","224"
"preference_bits","22","UNUSED","src\constants.c","224"
"preference_bits","23","CLS","src\constants.c","224"
"preference_bits","24","BLDWLK","src\constants.c","224"
"preference_bits","25","AFK","src\constants.c","224"
"preference_bits","26","AUTOLOOT","src\constants.c","224"
"preference_bits","27","AUTOGOLD","src\constants.c","224"
"preference_bits","28","AUTOSPLIT","src\constants.c","224"
"preference_bits","29","AUTOSAC","src\constants.c","224"
"preference_bits","30","AUTOASSIST","src\constants.c","224"
"preference_bits","31","AUTOMAP","src\constants.c","224"
"preference_bits","32","AUTOKEY","src\constants.c","224"
"preference_bits","33","AUTODOOR","src\constants.c","224"
"preference_bits","34","ZONERESETS","src\constants.c","224"
"preference_bits","35","SHORTFLAGS","src\constants.c","224"
"preference_bits","36","\n","src\constants.c","224"
"quest_types","0","Object","src\quest.c","33"
"quest_types","1","Room","src\quest.c","33"
"quest_types","2","Find mob","src\quest.c","33"
"quest_types","3","Kill mob","src\quest.c","33"
"quest_types","4","Save mob","src\quest.c","33"
"quest_types","5","Return object","src\quest.c","33"
"quest_types","6","Clear room","src\quest.c","33"
"quest_types","7","\n","src\quest.c","33"
"room_bits","0","DARK","src\constants.c","68"
"room_bits","1","DEATH","src\constants.c","68"
"room_bits","2","NO_MOB","src\constants.c","68"
"room_bits","3","INDOORS","src\constants.c","68"
"room_bits","4","PEACEFUL","src\constants.c","68"
"room_bits","5","SOUNDPROOF","src\constants.c","68"
"room_bits","6","NO_TRACK","src\constants.c","68"
"room_bits","7","NO_MAGIC","src\constants.c","68"
"room_bits","8","TUNNEL","src\constants.c","68"
"room_bits","9","PRIVATE","src\constants.c","68"
"room_bits","10","GODROOM","src\constants.c","68"
"room_bits","11","HOUSE","src\constants.c","68"
"room_bits","12","HCRSH","src\constants.c","68"
"room_bits","13","ATRIUM","src\constants.c","68"
"room_bits","14","OLC","src\constants.c","68"
"room_bits","15","*","src\constants.c","68"
"room_bits","16","WORLDMAP","src\constants.c","68"
"room_bits","17","\n","src\constants.c","68"
"sector_types","0","Inside","src\constants.c","117"
"sector_types","1","City","src\constants.c","117"
"sector_types","2","Field","src\constants.c","117"
"sector_types","3","Forest","src\constants.c","117"
"sector_types","4","Hills","src\constants.c","117"
"sector_types","5","Mountains","src\constants.c","117"
"sector_types","6","Water (Swim)","src\constants.c","117"
"sector_types","7","Water (No Swim)","src\constants.c","117"
"sector_types","8","In Flight","src\constants.c","117"
"sector_types","9","Underwater","src\constants.c","117"
"sector_types","10","\n","src\constants.c","117"
"shop_bits","0","WILL_FIGHT","src\shop.c","58"
"shop_bits","1","USES_BANK","src\shop.c","58"
"shop_bits","2","UNLIMITED_CASH","src\shop.c","58"
"shop_bits","3","\n","src\shop.c","58"
"trig_types","0","Global","src\constants.c","913"
"trig_types","1","Random","src\constants.c","913"
"trig_types","2","Command","src\constants.c","913"
"trig_types","3","Speech","src\constants.c","913"
"trig_types","4","Act","src\constants.c","913"
"trig_types","5","Death","src\constants.c","913"
"trig_types","6","Greet","src\constants.c","913"
"trig_types","7","Greet-All","src\constants.c","913"
"trig_types","8","Entry","src\constants.c","913"
"trig_types","9","Receive","src\constants.c","913"
"trig_types","10","Fight","src\constants.c","913"
"trig_types","11","HitPrcnt","src\constants.c","913"
"trig_types","12","Bribe","src\constants.c","913"
"trig_types","13","Load","src\constants.c","913"
"trig_types","14","Memory","src\constants.c","913"
"trig_types","15","Cast","src\constants.c","913"
"trig_types","16","Leave","src\constants.c","913"
"trig_types","17","Door","src\constants.c","913"
"trig_types","18","UNUSED","src\constants.c","913"
"trig_types","19","Time","src\constants.c","913"
"trig_types","20","Damage","src\constants.c","913"
"trig_types","21","\n","src\constants.c","913"
"wear_bits","0","TAKE","src\constants.c","456"
"wear_bits","1","FINGER","src\constants.c","456"
"wear_bits","2","NECK","src\constants.c","456"
"wear_bits","3","BODY","src\constants.c","456"
"wear_bits","4","HEAD","src\constants.c","456"
"wear_bits","5","LEGS","src\constants.c","456"
"wear_bits","6","FEET","src\constants.c","456"
"wear_bits","7","HANDS","src\constants.c","456"
"wear_bits","8","ARMS","src\constants.c","456"
"wear_bits","9","SHIELD","src\constants.c","456"
"wear_bits","10","ABOUT","src\constants.c","456"
"wear_bits","11","WAIST","src\constants.c","456"
"wear_bits","12","WRIST","src\constants.c","456"
"wear_bits","13","WIELD","src\constants.c","456"
"wear_bits","14","HOLD","src\constants.c","456"
"wear_bits","15","\n","src\constants.c","456"
"wear_where","0","<used as light>      ","src\constants.c","376"
"wear_where","1","<worn on finger>     ","src\constants.c","376"
"wear_where","2","<worn on finger>     ","src\constants.c","376"
"wear_where","3","<worn around neck>   ","src\constants.c","376"
"wear_where","4","<worn around neck>   ","src\constants.c","376"
"wear_where","5","<worn on body>       ","src\constants.c","376"
"wear_where","6","<worn on head>       ","src\constants.c","376"
"wear_where","7","<worn on legs>       ","src\constants.c","376"
