"File","Line","Function","MenuText","SourceOutput"
"src\act.other.c","1745","study_apply_cooldown","A training session costs %d Glory. You currently have %d Glory.","A training session costs %d Glory. You currently have %d Glory.\r\n"
"src\act.wizard.c","457","find_target_room","I think not.","I think not.\r\n"
"src\act.wizard.c","3327","list_llog_entries","A bitter wind suddenly rises and drains every erg of heat from your body!","A bitter wind suddenly rises and drains every erg of heat from your body!\r\nYou feel frozen!\r\n"
"src\act.wizard.c","3344","list_llog_entries","A fireball suddenly explodes in front of you, melting the ice!","A fireball suddenly explodes in front of you, melting the ice!\r\nYou feel thawed.\r\n"
"src\act.wizard.c","3548","print_zone_to_buf","A name would help.","A name would help.\r\n"
"src\act.wizard.c","3582","print_zone_to_buf","A name would help.","A name would help.\r\n"
"src\act.wizard.c","6623","mobtemplate_range_is_clear","a template %s %d","a template %s %d"
"src\act.wizard.c","6624","mobtemplate_range_is_clear","A template %s %d stands here awaiting builder customization.","A template %s %d stands here awaiting builder customization.\r\n"
"src\act.wizard.c","7400","objtemplate_range_is_clear","a template %s %d","a template %s %d"
"src\act.wizard.c","7401","objtemplate_range_is_clear","A template %s %d is here awaiting builder customization.","A template %s %d is here awaiting builder customization.\r\n"
"src\aedit.c","771","aedit_parse","2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","a) Char    [NO ARG]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","b) Others  [NO ARG]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","c) Char [NOT FOUND]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","d) Char  [ARG SELF]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","e) Others[ARG SELF]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","f) Char      [VICT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","g) Others    [VICT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","h) Victim    [VICT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","i) Char  [BODY PRT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","j) Others[BODY PRT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","k) Victim[BODY PRT]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","l) Char       [OBJ]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","m) Others     [OBJ]: %s%s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\aedit.c","771","aedit_parse","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s","n) Command         : %s%-15.15s%s 1) Sort as Command : %s%-15.15s%s\r\n2) Min Position[CH]: %s%-8.8s%s        3) Min Position[VT]: %s%-8.8s%s\r\n4) Min Level   [CH]: %s%-3d%s             5) Show if Invis   : %s%s%s\r\na) Char    [NO ARG]: %s%s%s\r\nb) Others  [NO ARG]: %s%s%s\r\nc) Char [NOT FOUND]: %s%s%s\r\nd) Char  [ARG SELF]: %s%s%s\r\ne) Others[ARG SELF]: %s%s%s\r\nf) Char      [VICT]: %s%s%s\r\ng) Others    [VICT]: %s%s%s\r\nh) Victim    [VICT]: %s%s%s\r\ni) Char  [BODY PRT]: %s%s%s\r\nj) Others[BODY PRT]: %s%s%s\r\nk) Victim[BODY PRT]: %s%s%s\r\nl) Char       [OBJ]: %s%s%s\r\nm) Others     [OBJ]: %s%s%s\r\nHIDDENNOT HIDDEN"
"src\cedit.c","1006","cedit_parse","1) Disable maps","1) Disable maps\r\n"
"src\cedit.c","1007","cedit_parse","2) Enable Maps","2) Enable Maps\r\n"
"src\cedit.c","1008","cedit_parse","3) Maps for Immortals only","3) Maps for Immortals only\r\n"
"src\dg_olc.c","135","script_save_to_disk","T %d","T %d\n"
"src\dg_olc.c","541","trigedit_parse","0: Mobiles, 1: Objects, 2: Rooms:","0: Mobiles, 1: Objects, 2: Rooms: "
"src\dg_olc.c","1043","dg_trigger_action_menu","1) Inspect Trigger","Attached Trigger\r\n----------------\r\n\r\nAttachment slot : %d\r\nTrigger VNUM    : %d\r\nName            : %s\r\nType            : %s\r\nAttach Type     : %s\r\nNumeric Argument: %d\r\nArgument        : %s\r\n\r\nBehavior metadata:\r\n  %s\r\n\r\n1) Inspect Trigger\r\n2) Edit Trigger Prototype\r\n3) Detach From This %s\r\nQ) Return\r\n\r\nChoice: <missing trigger prototype>MobileObjectRoomUnknown<none>Picks up non-fountain room objects costing 15 gold or less.Unknown / arbitrary DG Script (no authored metadata)."
"src\dg_olc.c","1043","dg_trigger_action_menu","2) Edit Trigger Prototype","Attached Trigger\r\n----------------\r\n\r\nAttachment slot : %d\r\nTrigger VNUM    : %d\r\nName            : %s\r\nType            : %s\r\nAttach Type     : %s\r\nNumeric Argument: %d\r\nArgument        : %s\r\n\r\nBehavior metadata:\r\n  %s\r\n\r\n1) Inspect Trigger\r\n2) Edit Trigger Prototype\r\n3) Detach From This %s\r\nQ) Return\r\n\r\nChoice: <missing trigger prototype>MobileObjectRoomUnknown<none>Picks up non-fountain room objects costing 15 gold or less.Unknown / arbitrary DG Script (no authored metadata)."
"src\dg_olc.c","1043","dg_trigger_action_menu","3) Detach From This %s","Attached Trigger\r\n----------------\r\n\r\nAttachment slot : %d\r\nTrigger VNUM    : %d\r\nName            : %s\r\nType            : %s\r\nAttach Type     : %s\r\nNumeric Argument: %d\r\nArgument        : %s\r\n\r\nBehavior metadata:\r\n  %s\r\n\r\n1) Inspect Trigger\r\n2) Edit Trigger Prototype\r\n3) Detach From This %s\r\nQ) Return\r\n\r\nChoice: <missing trigger prototype>MobileObjectRoomUnknown<none>Picks up non-fountain room objects costing 15 gold or less.Unknown / arbitrary DG Script (no authored metadata)."
"src\dg_olc.c","1043","dg_trigger_action_menu","Q) Return","Attached Trigger\r\n----------------\r\n\r\nAttachment slot : %d\r\nTrigger VNUM    : %d\r\nName            : %s\r\nType            : %s\r\nAttach Type     : %s\r\nNumeric Argument: %d\r\nArgument        : %s\r\n\r\nBehavior metadata:\r\n  %s\r\n\r\n1) Inspect Trigger\r\n2) Edit Trigger Prototype\r\n3) Detach From This %s\r\nQ) Return\r\n\r\nChoice: <missing trigger prototype>MobileObjectRoomUnknown<none>Picks up non-fountain room objects costing 15 gold or less.Unknown / arbitrary DG Script (no authored metadata)."
"src\dg_olc.c","1102","dg_trigger_inspect","Q) Return to selected trigger","\r\nQ) Return to selected trigger\r\nChoice: "
"src\dg_olc.c","1230","dg_script_edit_parse","Q) Return to Script Editor:","\r\nTrigger prototypes are edited separately.\r\nSelect an attachment to learn its VNUM, save or discard this parent, then enter:\r\n  trigedit <vnum>\r\n\r\nQ) Return to Script Editor: "
"src\dg_olc.c","1236","dg_script_edit_parse","Q) Return to Script Editor:","\r\nReferences are available through the separate builder reference tools.\r\nNo potentially expensive world scan is run from this menu.\r\n\r\nQ) Return to Script Editor: "
"src\dg_olc.c","1242","dg_script_edit_parse","D removes one attachment by its numbered position; it does not delete the trigger.","\r\nScript attachment help\r\n----------------------\r\nN attaches an existing Mobile/Object/Room trigger to the matching parent.\r\nEnter position, vnum (for example: 1, 200); attachment order is preserved.\r\nD removes one attachment by its numbered position; it does not delete the trigger.\r\nX returns to the parent editor. Attachments become permanent only when it is saved.\r\nAttaching a trigger does not edit its prototype. MEDIT accepts only Mobile triggers.\r\n\r\n"
"src\dg_olc.c","1242","dg_script_edit_parse","N attaches an existing Mobile/Object/Room trigger to the matching parent.","\r\nScript attachment help\r\n----------------------\r\nN attaches an existing Mobile/Object/Room trigger to the matching parent.\r\nEnter position, vnum (for example: 1, 200); attachment order is preserved.\r\nD removes one attachment by its numbered position; it does not delete the trigger.\r\nX returns to the parent editor. Attachments become permanent only when it is saved.\r\nAttaching a trigger does not edit its prototype. MEDIT accepts only Mobile triggers.\r\n\r\n"
"src\dg_olc.c","1242","dg_script_edit_parse","X returns to the parent editor. Attachments become permanent only when it is saved.","\r\nScript attachment help\r\n----------------------\r\nN attaches an existing Mobile/Object/Room trigger to the matching parent.\r\nEnter position, vnum (for example: 1, 200); attachment order is preserved.\r\nD removes one attachment by its numbered position; it does not delete the trigger.\r\nX returns to the parent editor. Attachments become permanent only when it is saved.\r\nAttaching a trigger does not edit its prototype. MEDIT accepts only Mobile triggers.\r\n\r\n"
"src\dg_olc.c","1248","dg_script_edit_parse","Q) Return to Script Editor:","Q) Return to Script Editor: "
"src\dg_olc.c","1293","dg_script_edit_parse","Q) Return to selected trigger","\r\nEdit Trigger Prototype\r\n----------------------\r\n\r\nTrigger %d is edited by the authoritative trigger editor.\r\n\r\nNested Oasis OLC is not safe because all editors share one descriptor OLC structure.\r\nReturn to and save or discard this parent editor, then enter:\r\n  trigedit %d\r\n\r\nThe trigedit command will enforce builder level, zone ownership, descriptor state,\r\nand concurrent-editor checks. No parent attachment has been changed.\r\n\r\nQ) Return to selected trigger\r\nChoice: "
"src\fight.c","1986","damage","A death ward flares and saves you from a killing blow!","A death ward flares and saves you from a killing blow!\r\n"
"src\genolc.c","427","export_info_file","1. All the files have been QQ'ed. This means all occurences of the zone number","1. All the files have been QQ'ed. This means all occurences of the zone number\n"
"src\genolc.c","432","export_info_file","2. Exits out of this zone have been ZZ'd. So all doors leading out have ZZ??","2. Exits out of this zone have been ZZ'd. So all doors leading out have ZZ??\n"
"src\genolc.c","459","export_info_file","2. This area doesn't have any exits _out_ of the zone.","2. This area doesn't have any exits _out_ of the zone.\n"
"src\genolc.c","684","export_save_zone","M %d QQ%02d %d QQ%02d 	(%s)","M %d QQ%02d %d QQ%02d 	(%s)\n"
"src\genolc.c","692","export_save_zone","O %d QQ%02d %d QQ%02d 	(%s)","O %d QQ%02d %d QQ%02d 	(%s)\n"
"src\genolc.c","700","export_save_zone","G %d QQ%02d %d -1 	(%s)","G %d QQ%02d %d -1 	(%s)\n"
"src\genolc.c","707","export_save_zone","E %d QQ%02d %d %d 	(%s)","E %d QQ%02d %d %d 	(%s)\n"
"src\genolc.c","715","export_save_zone","P %d QQ%02d %d QQ%02d 	(%s)","P %d QQ%02d %d QQ%02d 	(%s)\n"
"src\genolc.c","723","export_save_zone","D %d QQ%02d %d %d 	(%s)","D %d QQ%02d %d %d 	(%s)\n"
"src\genolc.c","731","export_save_zone","R %d QQ%02d QQ%02d -1 	(%s)","R %d QQ%02d QQ%02d -1 	(%s)\n"
"src\genolc.c","738","export_save_zone","T %d %d QQ%02d QQ%02d 	(%s)","T %d %d QQ%02d QQ%02d 	(%s)\n"
"src\genolc.c","746","export_save_zone","V %d %d %d QQ%02d %s %s","V %d %d %d QQ%02d %s %s\n"
"src\genolc.c","1012","export_script_save_to_disk","T QQ%02d","T QQ%02d\n"
"src\handler.c","1384","get_obj_pos_in_equip_vis","a gold coin","a gold coin"
"src\handler.c","1386","get_obj_pos_in_equip_vis","a pile of gold coins","a pile of gold coins"
"src\handler.c","1429","get_obj_pos_in_equip_vis","a %s coin","a %s coin"
"src\handler.c","1431","get_obj_pos_in_equip_vis","a pile of %s coins","a pile of %s coins"
"src\handler.c","1435","get_obj_pos_in_equip_vis","A %s coin is lying here.","A %s coin is lying here."
"src\handler.c","1437","get_obj_pos_in_equip_vis","A pile of %s coins is lying here.","A pile of %s coins is lying here."
